K00001	E1.1.1.1	alcohol dehydrogenase
K07787	cusA	copper/silver efflux system protein
K07788	mdtB	multidrug efflux pump
K07789	mdtC	multidrug efflux pump
K07790	pagO	putative membrane protein PagO
K07791	dcuA	anaerobic C4-dicarboxylate transporter DcuA
K07792	dcuB	anaerobic C4-dicarboxylate transporter DcuB
K07793	tctA	putative tricarboxylic transport membrane protein
K07794	tctB	putative tricarboxylic transport membrane protein
K07795	tctC	putative tricarboxylic transport membrane protein
K07796	cusC	outer membrane protein, copper/silver efflux system
K07797	emrK	multidrug resistance protein K
K07798	cusB	membrane fusion protein, copper/silver efflux system
K07799	mdtA	membrane fusion protein, multidrug efflux system
K07800	agrD	AgrD protein
K07803	zraP	zinc resistance-associated protein
K07804	pagC	putatice virulence related protein PagC
K07806	arnB	UDP-4-amino-4-deoxy-L-arabinose-oxoglutarate aminotransferase
K07807	K07807	uncharacterized protein
K07810	cusF	Cu(I)/Ag(I) efflux system periplasmic protein CusF
K07811	torA	trimethylamine-N-oxide reductase (cytochrome c)
K07812	torZ	trimethylamine-N-oxide reductase (cytochrome c)
K07813	agrB	accessory gene regulator B
K07814	K07814	cyclic di-GMP phosphodiesterase
K07816	E2.7.6.5	GTP pyrophosphokinase
K07821	torY	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY
K07823	pcaF	3-oxoadipyl-CoA thiolase
K07862	sstT	serine/threonine transporter
K07904	RAB11A	Ras-related protein Rab-11A
K07979	ytrA	GntR family transcriptional regulator
K07991	flaK	archaeal preflagellin peptidase FlaK
K08068	siaA	UDP-N-acetylglucosamine 2-epimerase (hydrolysing)
K08070	E1.3.1.74	2-alkenal reductase
K08077	NUDT14	UDP-sugar diphosphatase
K08081	TR1	tropinone reductase I
K08082	algZ	two-component system, LytTR family, sensor histidine kinase AlgZ
K08083	algR	two-component system, LytTR family, response regulator AlgR
K08084	fimT	type IV fimbrial biogenesis protein FimT
K08085	fimU	type IV fimbrial biogenesis protein FimU
K08086	fimV	pilus assembly protein FimV
K08087	fimW	fimbrial protein FimW
K08088	fimY	fimbrial regulator
K08092	dlgD	3-dehydro-L-gulonate 2-dehydrogenase
K08093	hxlA	3-hexulose-6-phosphate synthase
K08094	hxlB	6-phospho-3-hexuloisomerase
K08096	gch3	GTP cyclohydrolase IIa
K08097	comA	phosphosulfolactate synthase
K08137	galP	MFS transporter, SP family, galactose:H+ symporter
K08138	xylE	MFS transporter, SP family, xylose:H+ symportor
K08139	HXT	MFS transporter, SP family, sugar:H+ symporter
K08151	tetA	MFS transporter, DHA1 family, tetracycline resistance protein
K08152	lmrP	MFS transporter, DHA1 family, multidrug resistance protein B
K08153	blt	MFS transporter, DHA1 family, multidrug resistance protein
K08154	emrD	MFS transporter, DHA1 family, 2-module integral membrane pump EmrD
K08156	araJ	MFS transporter, DHA1 family, arabinose polymer utilization protein
K08159	sotB	MFS transporter, DHA1 family, L-arabinose/isopropyl-beta-D-thiogalactopyranoside export protein
K08160	mdfA, cmr	MFS transporter, DHA1 family, multidrug/chloramphenicol efflux transport protein
K08161	mdtG	MFS transporter, DHA1 family, multidrug resistance protein
K08162	mdtH	MFS transporter, DHA1 family, multidrug resistance protein
K08163	mdtL	MFS transporter, DHA1 family, multidrug resistance protein
K08164	ybcL	MFS transporter, DHA1 family, putative efflux transporter
K08166	mmr	MFS transporter, DHA2 family, methylenomycin A resistance protein
K08167	smvA, qacA, lfrA	MFS transporter, DHA2 family, multidrug resistance protein
K08168	tetB	MFS transporter, DHA2 family, metal-tetracycline-proton antiporter
K08169	yebQ	MFS transporter, DHA2 family, multidrug resistance protein
K08170	norB, norC	MFS transporter, DHA2 family, multidrug resistance protein
K08172	shiA	MFS transporter, MHS family, shikimate and dehydroshikimate transport protein
K08173	ydfJ	MFS transporter, MHS family, metabolite:H+ symporter
K08174	glcP	MFS transporter, FHS family, glucose/mannose:H+ symporter
K08177	oxlT	MFS transporter, OFA family, oxalate/formate antiporter
K08178	JEN	MFS transporter, SHS family, lactate transporter
K08191	exuT	MFS transporter, ACS family, hexuronate transporter
K08194	dgoT	MFS transporter, ACS family, D-galactonate transporter
K08195	pcaK	MFS transporter, AAHS family, 4-hydroxybenzoate transporter
K08196	mucK	MFS transporter, AAHS family, cis,cis-muconate transporter
K08217	mef	MFS transporter, DHA3 family, macrolide efflux protein
K08218	ampG	MFS transporter, PAT family, beta-lactamase induction signal transducer AmpG
K08219	UMF2	MFS transporter, UMF2 family, putative MFS family transporter protein
K08221	yitG, ymfD, yfmO	MFS transporter, ACDE family, multidrug resistance protein
K08222	yqgE	MFS transporter, YQGE family, putative transporter
K08223	fsr	MFS transporter, FSR family, fosmidomycin resistance protein
K08224	ynfM	MFS transporter, YNFM family, putative membrane transport protein
K08225	entS	MFS transporter, ENTS family, enterobactin (siderophore) exporter
K08227	lplT	MFS transporter, LPLT family, lysophospholipid transporter
K08234	yaeR	glyoxylase I family protein
K08252	E2.7.10.1	receptor protein-tyrosine kinase
K08253	E2.7.10.2	non-specific protein-tyrosine kinase
K08256	pimA	phosphatidyl-myo-inositol alpha-mannosyltransferase
K08258	sspB2, sspP, scpA	staphopain A
K08259	lytM	lysostaphin
K08261	E1.1.99.21	D-sorbitol dehydrogenase (acceptor)
K08276	eco	ecotin
K08277	caiF	transcriptional activator CaiF
K08279	caiE	carnitine operon protein CaiE
K08280	wbbJ	lipopolysaccharide O-acetyltransferase
K08281	pncA	nicotinamidase/pyrazinamidase
K08282	E2.7.11.1	non-specific serine/threonine protein kinase
K08289	purT	phosphoribosylglycinamide formyltransferase 2
K08295	abmG	2-aminobenzoate-CoA ligase
K08296	sixA	phosphohistidine phosphatase
K08297	caiA	crotonobetainyl-CoA dehydrogenase
K08298	caiB	L-carnitine CoA-transferase
K08299	caiD	crotonobetainyl-CoA hydratase
K08300	rne	ribonuclease E
K08301	rng, cafA	ribonuclease G
K08302	gatY-kbaY	tagatose 1,6-diphosphate aldolase GatY/KbaY
K08303	prtC	U32 family peptidase
K08304	mltA	membrane-bound lytic murein transglycosylase A
K08305	mltB	membrane-bound lytic murein transglycosylase B
K08306	mltC	membrane-bound lytic murein transglycosylase C
K08307	mltD, dniR	membrane-bound lytic murein transglycosylase D
K08308	mltE, emtA	membrane-bound lytic murein transglycosylase E
K08309	slt	soluble lytic murein transglycosylase
K08310	nudB	dihydroneopterin triphosphate diphosphatase
K08311	nudH	putative (di)nucleoside polyphosphate hydrolase
K08312	nudE	ADP-ribose diphosphatase
K08313	fsaA, mipB	fructose-6-phosphate aldolase 1
K08314	fsaB, talC	fructose-6-phosphate aldolase 2
K08315	hycI	hydrogenase 3 maturation protease
K08316	rsmD	16S rRNA (guanine966-N2)-methyltransferase
K08317	hcxA	hydroxycarboxylate dehydrogenase A
K08318	yihU	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase
K08319	ltnD	L-threonate 2-dehydrogenase
K08320	nudG	(d)CTP diphosphatase
K08321	lsrF	3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
K08322	rspB	L-gulonate 5-dehydrogenase
K08323	rspA	mannonate dehydratase
K08324	sad	succinate-semialdehyde dehydrogenase
K08325	yqhD	NADP-dependent alcohol dehydrogenase
K08326	ypdF	aminopeptidase
K08344	scsB	suppressor for copper-sensitivity B
K08348	fdnG	formate dehydrogenase-N, alpha subunit
K08349	fdnH	formate dehydrogenase-N, beta subunit
K08350	fdnI	formate dehydrogenase-N, gamma subunit
K08351	bisC	biotin/methionine sulfoxide reductase
K08352	phsA	thiosulfate reductase / polysulfide reductase chain A
K08353	phsB	thiosulfate reductase electron transport protein
K08354	phsC	thiosulfate reductase cytochrome b subunit
K08356	aoxB	arsenite oxidase large subunit
K08357	ttrA	tetrathionate reductase subunit A
K08358	ttrB	tetrathionate reductase subunit B
K08359	ttrC	tetrathionate reductase subunit C
K08363	merT	mercuric ion transport protein
K08364	merP	periplasmic mercuric ion binding protein
K08365	merR	MerR family transcriptional regulator, mercuric resistance operon regulatory protein
K08368	yaaU	MFS transporter, putative metabolite transport protein
K08369	ydjE	MFS transporter, putative metabolite:H+ symporter
K08372	pepD	putative serine protease PepD
K08384	spoVD	stage V sporulation protein D (sporulation-specific penicillin-binding protein)
K08475	pgtB	two-component system, NtrC family, phosphoglycerate transport system sensor histidine kinase PgtB
K08476	pgtA	two-component system, NtrC family, phosphoglycerate transport system response regulator PgtA
K08478	pgtC	phosphoglycerate transport regulatory protein PgtC
K08483	ptsI	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)
K08484	ptsP	phosphotransferase system, enzyme I, PtsP
K08485	ptsO	phosphocarrier protein NPr
K08566	pla	plasminogen activator
K08586	tpr	thiol protease
K08587	cloSI	clostripain
K08589	rgpA_B	gingipain R
K08591	plsY	acyl phosphate:glycerol-3-phosphate acyltransferase
K08600	srtB	sortase B
K08602	pepF, pepB	oligoendopeptidase F
K08604	hap	vibriolysin
K08605	gelE	coccolysin
K08640	E3.4.17.14	zinc D-Ala-D-Ala carboxypeptidase
K08641	vanX	zinc D-Ala-D-Ala dipeptidase
K08642	lasA	LasA protease
K08643	zmpB	zinc metalloprotease ZmpB
K08646	MEP	peptidyl-Lys metalloendopeptidase
K08651	E3.4.21.66	thermitase
K08652	C5AP, scpA, scpB	C5a peptidase
K08659	pepDA, pepDB	dipeptidase
K08676	tri	tricorn protease
K08678	UXS1	UDP-glucuronate decarboxylase
K08679	GAE	UDP-glucuronate 4-epimerase
K08680	menH	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
K08681	pdxT	pyridoxal 5'-phosphate synthase pdxT subunit
K08682	acpH	acyl carrier protein phosphodiesterase
K08688	E3.5.3.3	creatinase
K08692	mtkB	malate-CoA ligase subunit alpha
K08693	yfkN	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase
K08697	ccmL	carbon dioxide concentrating mechanism protein CcmL
K08714	VGSC	voltage-gated sodium channel
K08717	utp	urea transporter
K08720	ompU	outer membrane protein OmpU
K08721	oprJ	outer membrane protein, multidrug efflux system
K08722	yfbR	5'-deoxynucleotidase
K08723	yjjG	pyrimidine 5'-nucleotidase
K08724	pbpB	penicillin-binding protein 2B
K08728	E2.4.2.6	nucleoside deoxyribosyltransferase
K08738	CYC	cytochrome c
K08744	CRLS	cardiolipin synthase (CMP-forming)
K08770	UBC	ubiquitin C
K08776	NPEPPS	puromycin-sensitive aminopeptidase
K08851	TP53RK, PRPK, BUD32	TP53 regulating kinase and related kinases
K08884	K08884	serine/threonine protein kinase, bacterial
K08961	K08961	chondroitin-sulfate-ABC endolyase/exolyase
K08963	mtnA	methylthioribose-1-phosphate isomerase
K08964	mtnB	methylthioribulose-1-phosphate dehydratase
K08965	mtnW	2,3-diketo-5-methylthiopentyl-1-phosphate enolase
K08966	mtnX	2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase
K08967	mtnD	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
K08968	msrC	L-methionine (R)-S-oxide reductase
K08969	mtnE	L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase
K08970	rcnA	nickel/cobalt transporter (NicO) family protein
K08971	K08971	putative membrane protein
K08972	K08972	putative membrane protein
K08973	hemJ	protoporphyrinogen IX oxidase
K08974	K08974	putative membrane protein
K08975	K08975	putative membrane protein
K08976	K08976	putative membrane protein
K08978	TC.BAT1	bacterial/archaeal transporter family protein
K08979	K08979	putative membrane protein
K08981	K08981	putative membrane protein
K08982	K08982	putative membrane protein
K08983	K08983	putative membrane protein
K08984	yjdF	putative membrane protein
K08985	K08985	putative lipoprotein
K08986	ycgQ	putative membrane protein
K08987	K08987	putative membrane protein
K08988	K08988	putative membrane protein
K08989	K08989	putative membrane protein
K08990	ycjF	putative membrane protein
K08992	lapA	lipopolysaccharide assembly protein A
K08993	yhhL	putative membrane protein
K08994	yneE, BEST	ion channel-forming bestrophin family protein
K08995	K08995	putative membrane protein
K08996	yagU	putative membrane protein
K08997	SELENOO, selO	protein adenylyltransferase
K08998	K08998	uncharacterized protein
K08999	K08999	uncharacterized protein
K09000	cmr4	CRISPR-associated protein Cmr4
K09001	anmK	anhydro-N-acetylmuramic acid kinase
K09002	csm3	CRISPR-associated protein Csm3
K09003	K09003	uncharacterized protein
K09004	K09004	uncharacterized protein
K09005	K09005	uncharacterized protein
K09007	folE2	GTP cyclohydrolase IB
K09009	K09009	uncharacterized protein
K09011	cimA	(R)-citramalate synthase
K09013	sufC	Fe-S cluster assembly ATP-binding protein
K09014	sufB	Fe-S cluster assembly protein SufB
K09015	sufD	Fe-S cluster assembly protein SufD
K09016	rutG	putative pyrimidine permease RutG
K09017	rutR	TetR/AcrR family transcriptional regulator
K09018	rutA	pyrimidine oxygenase
K09019	rutE	3-hydroxypropanoate dehydrogenase
K09020	rutB	ureidoacrylate peracid hydrolase
K09021	rutC	aminoacrylate peracid reductase
K09022	ridA, tdcF, RIDA	2-iminobutanoate/2-iminopropanoate deaminase
K09023	rutD	aminoacrylate hydrolase
K09024	rutF	flavin reductase
K09065	argF	N-acetylornithine carbamoyltransferase
K09116	K09116	damage-control phosphatase, subfamily I
K09117	K09117	uncharacterized protein
K09118	K09118	uncharacterized protein
K09119	cgi121	KEOPS complex subunit Cgi121
K09121	larC	pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel chelatase
K09123	lhpI	cis-L-3-hydroxyproline dehydratase
K09124	K09124	uncharacterized protein
K09125	yhhQ	queuosine precursor transporter
K09126	K09126	uncharacterized protein
K09127	cmr3	CRISPR-associated protein Cmr3
K09128	acnX2	mevalonate 5-phosphate dehydratase small subunit
K09129	K09129	uncharacterized protein
K09131	K09131	uncharacterized protein
K09132	K09132	uncharacterized protein
K09133	K09133	uncharacterized protein
K09134	flA	adenosyl-fluoride synthase
K09136	ycaO	ribosomal protein S12 methylthiotransferase accessory factor
K09137	K09137	uncharacterized protein
K09138	K09138	uncharacterized protein
K09139	K09139	uncharacterized protein
K09140	TSR3	pre-rRNA-processing protein TSR3
K09141	K09141	uncharacterized protein
K09142	SPOUT1	methyltransferase
K09143	K09143	uncharacterized protein
K09144	K09144	uncharacterized protein
K09145	K09145	uncharacterized protein
K09146	K09146	uncharacterized protein
K09148	K09148	uncharacterized protein
K09152	K09152	uncharacterized protein
K09153	K09153	small membrane protein
K09154	K09154	uncharacterized protein
K09155	K09155	uncharacterized protein
K09157	K09157	uncharacterized protein
K09158	K09158	uncharacterized protein
K09159	cptB	antitoxin CptB
K09160	K09160	uncharacterized protein
K09161	K09161	uncharacterized protein
K09163	K09163	uncharacterized protein
K09164	K09164	uncharacterized protein
K09165	K09165	dodecin
K09166	K09166	uncharacterized protein
K09167	K09167	uncharacterized protein
K09181	yfiQ	acetyltransferase
K09190	K09190	uncharacterized protein
K09251	patA	putrescine aminotransferase
K09384	K09384	uncharacterized protein
K09386	K09386	uncharacterized protein
K09388	K09388	uncharacterized protein
K09456	aidB	putative acyl-CoA dehydrogenase
K09457	queF	7-cyano-7-deazaguanine reductase
K09458	fabF	3-oxoacyl-[acyl-carrier-protein] synthase II
K09459	E4.1.1.82	phosphonopyruvate decarboxylase
K09461	E1.14.13.40	anthraniloyl-CoA monooxygenase
K09469	aepZ	2-aminoethylphosphonate-pyruvate transaminase
K09470	puuA	gamma-glutamylputrescine synthase
K09471	puuB	gamma-glutamylputrescine oxidase
K09472	puuC	4-(gamma-glutamylamino)butanal dehydrogenase
K09473	puuD	gamma-glutamyl-gamma-aminobutyrate hydrolase
K09474	phoN	acid phosphatase (class A)
K09475	ompC	outer membrane pore protein C
K09476	ompF	outer membrane pore protein F
K09477	citT	citrate:succinate antiporter
K09482	gatD	glutamyl-tRNA(Gln) amidotransferase subunit D
K09607	ina	immune inhibitor A
K09612	iap	alkaline phosphatase isozyme conversion protein
K09680	PANK1_2_3	type II pantothenate kinase
K09681	gltC	LysR family transcriptional regulator, transcription activator of glutamate synthase operon
K09682	hpr	MarR family transcriptional regulator, protease production regulatory protein HPr
K09683	hutP	hut operon positive regulatory protein
K09684	pucR	PucR family transcriptional regulator, purine catabolism regulatory protein
K09685	purR	purine operon repressor
K09688	kpsM	capsular polysaccharide transport system permease protein
K09689	kpsT	capsular polysaccharide transport system ATP-binding protein
K09690	wzm	lipopolysaccharide transport system permease protein
K09691	wzt	lipopolysaccharide transport system ATP-binding protein
K09692	tagG	teichoic acid transport system permease protein
K09693	tagH	teichoic acid transport system ATP-binding protein
K09694	nodJ	lipooligosaccharide transport system permease protein
K09695	nodI	lipooligosaccharide transport system ATP-binding protein
K09696	natB	sodium transport system permease protein
K09697	natA	sodium transport system ATP-binding protein
K09698	gltX	nondiscriminating glutamyl-tRNA synthetase
K09699	DBT	2-oxoisovalerate dehydrogenase E2 component (dihydrolipoyl transacylase)
K09700	K09700	uncharacterized protein
K09701	K09701	uncharacterized protein
K09702	K09702	uncharacterized protein
K09703	K09703	uncharacterized protein
K09704	K09704	uncharacterized protein
K09705	K09705	uncharacterized protein
K09706	K09706	uncharacterized protein
K09707	K09707	uncharacterized protein
K09709	meh	3-methylfumaryl-CoA hydratase
K09710	ybeB	ribosome-associated protein
K09711	lipS1	lipoyl synthase
K09712	K09712	uncharacterized protein
K09713	K09713	uncharacterized protein
K09716	dtdA, GEK1	D-aminoacyl-tRNA deacylase
K09717	K09717	uncharacterized protein
K09720	nrpRI	HTH-type transcriptional regulator, global nitrogen regulator NrpRI
K09721	K09721	uncharacterized protein
K09722	pps	4-phosphopantoate---beta-alanine ligase
K09723	ginS	DNA replication factor GINS
K09724	K09724	uncharacterized protein
K09725	K09725	uncharacterized protein
K09726	K09726	uncharacterized protein
K09727	K09727	uncharacterized protein
K09728	K09728	uncharacterized protein
K09729	K09729	uncharacterized protein
K09730	K09730	uncharacterized protein
K09732	K09732	uncharacterized protein
K09733	mfnB	(5-formylfuran-3-yl)methyl phosphate synthase
K09735	dpck	GTP-dependent dephospho-CoA kinase
K09736	K09736	uncharacterized protein
K09737	K09737	uncharacterized protein
K09738	K09738	uncharacterized protein
K09739	mptD	dihydroneopterin aldolase
K09740	K09740	uncharacterized protein
K09741	pcc1	KEOPS complex subunit Pcc1
K09744	K09744	uncharacterized protein
K09746	K09746	uncharacterized protein
K09747	ebfC	nucleoid-associated protein EbfC
K09748	rimP	ribosome maturation factor RimP
K09749	K09749	uncharacterized protein
K09758	asdA	aspartate 4-decarboxylase
K09759	aspC	nondiscriminating aspartyl-tRNA synthetase
K09760	rmuC	DNA recombination protein RmuC
K09761	rsmE	16S rRNA (uracil1498-N3)-methyltransferase
K09762	whiA	cell division protein WhiA
K09763	K09763	uncharacterized protein
K09764	K09764	uncharacterized protein
K09765	queH	epoxyqueuosine reductase
K09766	K09766	uncharacterized protein
K09767	yajQ	cyclic-di-GMP-binding protein
K09768	K09768	uncharacterized protein
K09769	ymdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase
K09770	K09770	uncharacterized protein
K09771	TC.SMR3	small multidrug resistance family-3 protein
K09772	sepF	cell division inhibitor SepF
K09773	ppsR	[pyruvate, water dikinase]-phosphate phosphotransferase / [pyruvate, water dikinase] kinase
K09774	lptA	lipopolysaccharide export system protein LptA
K09775	K09775	uncharacterized protein
K09776	K09776	uncharacterized protein
K09777	remA	extracellular matrix regulatory protein A
K09778	lpxJ	Kdo2-lipid IVA 3' secondary acyltransferase
K09779	K09779	uncharacterized protein
K09780	K09780	uncharacterized protein
K09781	K09781	uncharacterized protein
K09786	K09786	uncharacterized protein
K09787	K09787	uncharacterized protein
K09788	prpF	2-methylaconitate isomerase
K09789	bioG	pimeloyl-[acyl-carrier protein] methyl ester esterase
K09790	K09790	uncharacterized protein
K09791	K09791	uncharacterized protein
K09792	K09792	uncharacterized protein
K09793	K09793	uncharacterized protein
K09794	K09794	uncharacterized protein
K09795	K09795	uncharacterized protein
K09796	pccA	periplasmic copper chaperone A
K09797	K09797	uncharacterized protein
K09798	K09798	uncharacterized protein
K09799	K09799	uncharacterized protein
K09800	tamB	translocation and assembly module TamB
K09801	K09801	uncharacterized protein
K09802	K09802	uncharacterized protein
K09803	K09803	uncharacterized protein
K09804	K09804	uncharacterized protein
K09805	K09805	uncharacterized protein
K09806	ubiK	ubiquinone biosynthesis accessory factor UbiK
K09807	K09807	uncharacterized protein
K09808	lolC_E	lipoprotein-releasing system permease protein
K09809	tagF	CDP-glycerol glycerophosphotransferase
K09810	lolD	lipoprotein-releasing system ATP-binding protein
K09811	ftsX	cell division transport system permease protein
K09812	ftsE	cell division transport system ATP-binding protein
K09814	hrtA	hemin transport system ATP-binding protein
K09815	znuA	zinc transport system substrate-binding protein
K09816	znuB	zinc transport system permease protein
K09817	znuC	zinc transport system ATP-binding protein
K09818	ABC.MN.S	manganese/iron transport system substrate-binding protein
K09819	ABC.MN.P	manganese/iron transport system permease protein
K09820	ABC.MN.A	manganese/iron transport system ATP-binding protein
K09822	K09822	uncharacterized protein
K09823	zur	Fur family transcriptional regulator, zinc uptake regulator
K09824	virK	uncharacterized protein
K09825	perR	Fur family transcriptional regulator, peroxide stress response regulator
K09826	irr	Fur family transcriptional regulator, iron response regulator
K09835	crtISO	prolycopene isomerase
K09857	K09857	uncharacterized protein
K09858	K09858	SEC-C motif domain protein
K09859	K09859	uncharacterized protein
K09860	flgP	outer membrane protein FlgP
K09861	K09861	uncharacterized protein
K09862	K09862	uncharacterized protein
K09880	mtnC	enolase-phosphatase E1
K09882	cobS	cobaltochelatase CobS
K09888	zapA	cell division protein ZapA
K09889	yjgA	ribosome-associated protein
K09890	arfA	alternative ribosome-rescue factor
K09891	K09891	uncharacterized protein
K09892	zapB	cell division protein ZapB
K09893	rraB	regulator of ribonuclease activity B
K09894	K09894	uncharacterized protein
K09895	K09895	uncharacterized protein
K09896	K09896	uncharacterized protein
K09897	K09897	uncharacterized protein
K09898	K09898	uncharacterized protein
K09899	K09899	uncharacterized protein
K09900	E3.5.1.135	N4-acetylcytidine amidohydrolase
K09901	K09901	uncharacterized protein
K09902	K09902	uncharacterized protein
K09903	pyrH	uridylate kinase
K09904	K09904	uncharacterized protein
K09906	epmC	elongation factor P hydroxylase
K09907	K09907	uncharacterized protein
K09908	K09908	uncharacterized protein
K09909	K09909	uncharacterized protein
K09910	K09910	uncharacterized protein
K09911	K09911	uncharacterized protein
K09912	K09912	uncharacterized protein
K09913	ppnP	purine/pyrimidine-nucleoside phosphorylase
K09914	K09914	putative lipoprotein
K09915	K09915	uncharacterized protein
K09916	K09916	uncharacterized protein
K09917	K09917	uncharacterized protein
K09918	K09918	uncharacterized protein
K09919	K09919	uncharacterized protein
K09920	K09920	uncharacterized protein
K09921	K09921	uncharacterized protein
K09922	K09922	uncharacterized protein
K09923	K09923	uncharacterized protein
K09924	K09924	uncharacterized protein
K09925	K09925	uncharacterized protein
K09926	K09926	uncharacterized protein
K09927	K09927	uncharacterized protein
K09928	K09928	uncharacterized protein
K09929	K09929	uncharacterized protein
K09930	K09930	uncharacterized protein
K09931	K09931	uncharacterized protein
K09932	K09932	uncharacterized protein
K09933	mtfA	MtfA peptidase
K09934	K09934	uncharacterized protein
K09935	ybiA	N-glycosidase YbiA
K09936	TC.BAT2	bacterial/archaeal transporter family-2 protein
K09937	K09937	uncharacterized protein
K09938	K09938	uncharacterized protein
K09939	K09939	uncharacterized protein
K09940	K09940	uncharacterized protein
K09941	K09941	uncharacterized protein
K09942	K09942	uncharacterized protein
K09943	K09943	uncharacterized protein
K09944	K09944	uncharacterized protein
K09945	K09945	uncharacterized protein
K09946	K09946	uncharacterized protein
K09947	K09947	uncharacterized protein
K09948	K09948	uncharacterized protein
K09949	lpxI	UDP-2,3-diacylglucosamine hydrolase
K09950	K09950	uncharacterized protein
K09951	cas2	CRISPR-associated protein Cas2
K09952	csn1, cas9	CRISPR-associated endonuclease Csn1
K09953	lpxR	lipid A 3-O-deacylase
K09954	K09954	uncharacterized protein
K09955	K09955	uncharacterized protein
K09956	K09956	uncharacterized protein
K09958	K09958	uncharacterized protein
K09960	K09960	uncharacterized protein
K09961	K09961	uncharacterized protein
K09962	K09962	uncharacterized protein
K09963	K09963	uncharacterized protein
K09964	K09964	uncharacterized protein
K09965	K09965	uncharacterized protein
K09967	K09967	uncharacterized protein
K09968	K09968	uncharacterized protein
K09969	aapJ	general L-amino acid transport system substrate-binding protein
K09970	aapQ	general L-amino acid transport system permease protein
K09971	aapM	general L-amino acid transport system permease protein
K09972	aapP	general L-amino acid transport system ATP-binding protein
K09973	K09973	uncharacterized protein
K09974	K09974	uncharacterized protein
K09975	K09975	uncharacterized protein
K09976	K09976	uncharacterized protein
K09977	K09977	uncharacterized protein
K09978	K09978	uncharacterized protein
K09979	K09979	uncharacterized protein
K09980	K09980	uncharacterized protein
K09981	K09981	uncharacterized protein
K09982	K09982	uncharacterized protein
K09983	K09983	uncharacterized protein
K09984	K09984	uncharacterized protein
K09985	K09985	uncharacterized protein
K09986	K09986	uncharacterized protein
K09987	K09987	uncharacterized protein
K09988	lyxA	D-lyxose ketol-isomerase
K09989	K09989	uncharacterized protein
K09990	K09990	uncharacterized protein
K09992	K09992	uncharacterized protein
K09994	phnO	(aminoalkyl)phosphonate N-acetyltransferase
K09996	artJ	arginine transport system substrate-binding protein
K09997	artI	arginine transport system substrate-binding protein
K09998	artM	arginine transport system permease protein
K09999	artQ	arginine transport system permease protein
K10000	artP	arginine transport system ATP-binding protein
K10001	gltI	glutamate/aspartate transport system substrate-binding protein
K10002	gltK	glutamate/aspartate transport system permease protein
K10003	gltJ	glutamate/aspartate transport system permease protein
K10004	gltL	glutamate/aspartate transport system ATP-binding protein
K10005	gluB	glutamate transport system substrate-binding protein
K10006	gluC	glutamate transport system permease protein
K10007	gluD	glutamate transport system permease protein
K10008	gluA	glutamate transport system ATP-binding protein
K10009	tcyB	L-cystine transport system permease protein
K10010	tcyC	L-cystine transport system ATP-binding protein
K10011	arnA	UDP-4-amino-4-deoxy-L-arabinose formyltransferase / UDP-glucuronic acid dehydrogenase (UDP-4-keto-hexauronic acid decarboxylating)
K10012	arnC	undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
K10013	argT	lysine/arginine/ornithine transport system substrate-binding protein
K10014	hisJ	histidine transport system substrate-binding protein
K10015	hisM	histidine transport system permease protein
K10016	hisQ	histidine transport system permease protein
K10017	hisP	histidine transport system ATP-binding protein
K10018	occT	octopine/nopaline transport system substrate-binding protein
K10019	occM	octopine/nopaline transport system permease protein
K10020	occQ	octopine/nopaline transport system permease protein
K10021	occP	octopine/nopaline transport system ATP-binding protein
K10022	aotJ	arginine/ornithine transport system substrate-binding protein
K10023	aotM	arginine/ornithine transport system permease protein
K10024	aotQ	arginine/ornithine transport system permease protein
K10025	aotP	arginine/ornithine transport system ATP-binding protein
K10026	queE	7-carboxy-7-deazaguanine synthase
K10027	crtI	phytoene desaturase
K10036	glnH	glutamine transport system substrate-binding protein
K10037	glnP	glutamine transport system permease protein
K10038	glnQ	glutamine transport system ATP-binding protein
K10039	peb1A	aspartate/glutamate/glutamine transport system substrate-binding protein
K10040	peb1B	aspartate/glutamate/glutamine transport system permease protein
K10041	peb1C	aspartate/glutamate/glutamine transport system ATP-binding protein
K10085	EDEM2	ER degradation enhancer, mannosidase alpha-like 2
K10094	cbiK	nickel transport protein
K10107	kpsE	capsular polysaccharide transport system permease protein
K10108	malE	maltose/maltodextrin transport system substrate-binding protein
K10109	malF	maltose/maltodextrin transport system permease protein
K10110	malG	maltose/maltodextrin transport system permease protein
K10111	malK	multiple sugar transport system ATP-binding protein
K10112	msmX	multiple sugar transport system ATP-binding protein
K10117	msmE	raffinose/stachyose/melibiose transport system substrate-binding protein
